Lat,Lng,Year,Month,Severity
16.81,-87.78,2005,8,-1
16.79,-87.73,2003,10,1
16.81,-87.69,1998,10,3
16.81,-87.69,1998,12,3
17.33,-88.03,1998,9,2
17.35,-88.03,2000,7,1
17.35,-88.04,2000,7,-1
17.20,-87.53,1999,10,1
17.15,-87.57,1995,,3
17.89,-87.96,1999,5,1
17.86,88.00,2003,10,1
16.45,-88.02,2003,10,1
16.43,-88.20,1998,9,3
17.30,-87.50,1998,9,3
17.41,-87.55,1998,9,3
16.00,-88.00,2008,8,2
16.73,-87.77,1998,10,2
16.73,-87.77,1999,10,1
17.94,-87.94,1999,5,1
16.74,-87.81,2000,7,1
16.92,-87.70,2000,7,1
16.91,-87.70,2000,7,-1
16.91,-87.80,2000,7,-1
16.91,-87.80,2000,7,-1
16.71,-88.17,1999,5,2
16.71,-88.17,1999,5,1
16.10,-88.29,2009,9,0
16.12,-88.28,2007,8,0
16.12,-88.28,2008,8,0
16.12,-88.28,2008,2,0
16.10,-88.29,2007,12,-1
16.10,-88.29,2007,8,3
16.17,-88.34,2007,9,1
16.33,-88.17,1998,9,3
16.21,-88.18,1998,9,3
16.50,-88.38,1998,9,3
16.71,-87.85,2000,7,-1
16.73,-87.89,2000,7,1
16.73,-87.89,2000,7,-1
17.28,-88.04,2000,7,1
17.92,-87.94,1999,5,1
18.09,-87.87,2007,5,-1
17.83,-87.99,2011,6,0
17.94,-87.94,2011,6,0
16.47,-88.28,1998,9,3
16.62,-88.07,1998,10,2
16.00,-88.00,2008,9,2
16.18,-88.57,1997,,1
16.81,-88.06,1999,5,1
16.81,-88.08,2000,7,1
16.80,-88.08,1998,9,3
16.80,-88.08,1999,10,1
16.20,-88.35,1999,1,3
17.92,-87.94,1999,5,1
16.88,-88.05,1999,10,1
16.92,-88.05,2000,7,-1
16.66,-88.19,1999,5,1
17.42,-87.83,1995,,3
17.42,-87.83,1998,9,2
17.50,-87.85,1998,9,2
16.74,-87.88,2000,7,1
16.74,-87.88,2000,7,-1
17.36,-87.95,2000,7,-1
17.39,-87.94,2000,7,-1
17.55,-87.82,2000,7,-1
17.34,-87.95,2000,7,-1
17.36,-87.95,2000,7,-1
17.39,-87.94,2000,7,-1
16.76,-88.14,1999,5,1
16.76,-88.14,1999,5,1
15.97,-86.45,1995,,3
15.97,-86.45,1997,,2
15.98,-86.49,2009,3,3
15.65,-86.48,2009,3,0
15.93,-86.40,1998,9,2
16.33,-86.47,1998,9,2
20.42,-87.30,1998,9,3
19.10,-104.41,2007,5,0
20.83,-86.87,2003,9,2
18.72,-87.70,2005,5,1
18.71,-87.71,2005,5,2
18.63,-87.72,2005,6,0
18.66,-87.72,2005,6,0
18.66,-87.72,2005,6,1
18.69,-87.71,2005,6,0
18.69,-87.71,2005,6,1
18.69,-87.71,2005,6,0
18.69,-87.71,2005,6,0
18.69,-87.71,2005,6,0
18.74,-87.67,2005,6,0
18.71,-87.70,2005,6,1
18.69,-87.71,2005,6,1
18.71,-87.71,2005,7,1
18.71,-87.71,2005,7,1
18.66,-87.72,2006,5,1
18.69,-87.71,2006,5,2
18.66,-87.72,2006,5,1
18.66,-87.72,2006,5,1
18.69,-87.71,2006,5,1
18.69,-87.71,2006,5,1
18.66,-87.72,2006,5,2
18.72,-87.70,2006,5,1
18.72,-87.70,2006,5,1
18.69,-87.71,2006,5,1
18.66,-87.72,2006,5,1
18.72,-87.70,2006,6,1
18.72,-87.70,2006,6,1
18.72,-87.70,2006,5,1
18.69,-87.71,2006,5,1
23.40,-109.40,1997,,2
20.53,-105.32,1998,,3
20.81,-105.50,1998,,3
23.00,-109.70,1997,9,2
20.49,-105.50,1998,,3
20.50,-105.47,1998,,3
26.90,-111.90,1997,,2
20.47,-86.97,1993,,-1
20.53,-87.01,1998,,0
18.68,-87.71,2005,5,1
18.71,-87.71,2005,5,1
18.71,-87.71,2005,5,1
18.72,-87.70,2005,5,1
18.68,-87.71,2005,8,0
18.68,-87.71,2005,8,1
18.72,-87.70,2005,8,2
18.63,-87.72,2005,8,2
18.72,-87.70,2005,8,1
18.71,-87.70,2005,8,1
18.72,-87.70,2005,7,1
18.72,-87.70,2005,7,1
18.72,-87.70,2005,5,1
18.71,-87.70,2005,5,3
18.71,-87.70,2005,5,2
18.67,-87.71,2005,5,2
18.68,-87.71,2005,5,0
18.71,-87.71,2005,5,2
18.67,-87.71,2005,5,1
18.68,-87.71,2006,3,2
18.72,-87.70,2005,12,2
18.71,-87.70,2005,12,2
18.68,-87.71,2006,2,2
18.71,-87.71,2006,2,2
18.71,-87.70,2006,2,2
18.71,-87.70,2006,3,3
18.72,-87.70,2006,3,2
18.72,-87.70,2006,3,1
18.63,-87.72,2006,3,3
18.63,-87.72,2006,3,1
18.67,-87.71,2006,3,3
18.72,-87.70,2005,8,1
18.71,-87.70,2005,8,2
18.72,-87.70,2005,11,3
18.72,-87.70,2005,11,3
18.67,-87.72,2005,11,2
18.67,-87.72,2005,11,2
18.72,-87.70,2005,11,1
18.72,-87.70,2005,11,1
18.67,-87.72,2005,11,3
18.67,-87.72,2005,11,3
18.72,-87.70,2006,6,2
18.74,-87.68,2006,6,1
18.74,-87.68,2006,6,1
18.69,-87.71,2005,6,2
18.68,-87.71,2005,5,0
18.68,-87.71,2005,5,1
18.72,-87.70,2005,5,1
24.78,-110.48,1997,10,2
21.47,-105.21,1997,10,2
20.05,-87.46,2004,10,1
19.79,-87.43,2004,10,2
19.79,-87.43,2004,10,2
19.93,-87.43,2004,10,2
19.93,-87.43,2004,10,3
19.88,-87.43,2005,2,1
19.88,-87.43,2005,2,0
20.02,-87.46,2005,3,0
20.05,-87.46,2004,11,1
20.05,-87.46,2004,11,1
20.01,-87.46,2005,2,0
20.01,-87.46,2005,2,0
20.05,-87.47,2005,5,2
20.05,-87.47,2005,5,2
20.01,-87.46,2005,5,1
20.05,-87.47,2005,5,1
19.79,-87.43,2005,6,1
19.79,-87.43,2005,6,2
19.79,-87.43,2005,6,0
19.79,-87.43,2005,6,1
20.04,-87.47,2005,6,2
19.93,-87.43,2005,6,1
24.10,-110.40,1997,,2
20.48,-105.60,1998,,2
18.72,-87.70,2005,5,1
18.71,-87.71,2005,5,2
18.66,-87.72,2005,5,1
18.67,-87.71,2005,5,1
18.68,-87.71,2005,5,0
18.69,-87.71,2005,6,2
18.67,-87.71,2005,8,1
18.72,-87.70,2005,8,1
18.72,-87.70,2005,7,1
18.72,-87.70,2005,7,1
18.68,-87.71,2005,8,1
18.68,-87.71,2005,8,1
18.68,-87.71,2005,8,1
18.67,-87.71,2005,5,1
18.71,-87.71,2005,6,1
18.71,-87.71,2005,6,0
